App Name, Category, Filesystem Type Required, Supports CLI, Supports GUI, Supports Standalone, isPaidApp, Version
Ubuntu, Distribution, ubuntu, true, true, false, false, 1
Debian, Distribution, debian, true, true, false, false, 1
Arch, Distribution, arch, true, true, false, false, 1
Kali, Distribution, kali, true, true, false, false, 1
Alpine, Distribution, alpine, true, true, false, false, 1
LXDE, Desktop, debian, false, true, false, false, 1
XFCE, Desktop, debian, false, true, false, false, 1
Thunderbird, Email, debian, true, true, tech.ula.birdbox, false, 1
Octave, Math, debian, true, true, tech.ula.octave, false, 1
R, Math, debian, true, true, false, false, 1
Gnuplot, Math, debian, true, true, false, false, 1
Zork, Game, debian, true, true, false, false, 1
Adventure, Game, debian, true, true, false, false, 1
Firefox, Browser, debian, false, true, false, false, 1
LibreOffice, Office, debian, false, true, false, false, 1
Gimp, Office, debian, false, true, tech.ula.gimp, false, 1
Inkscape, Office, debian, false, true, false, false, 1
Git, Development, debian, false, true, false, false, 1
Idle, Development, debian, false, true, false, false, 1
